CO111	O111	CO100	O100	CO110	O110	CO211	O211	Ni111	Ni100	Ni110	Ni211
-502.021556696607	-499.031084262585	-502.325485152073	-499.370409569287	-503.796049792715	-500.658630619075	-502.237907203721	-499.084685144146	-491.668277964108	-492.036431672934	-493.413593425414	-491.837424410155
-39.8345948484464	-39.7147300008996	-39.8975297472189	-39.7919813777291	-39.5778304810985	-39.4869781482671	-39.809278998353	-39.7215031346243	-39.4269299196212	-39.4783092954303	-39.2509180003672	-39.4440600235757
-116.256429568636	-115.446781330471	-116.137629024972	-115.281300501672	-116.391873768092	-115.649902031699	-116.191216870856	-115.441899925995	-113.806697149233	-113.635642673897	-113.881614679795	-113.817015466041
388.717988813359	386.224286634392	389.220414412959	386.755411621981	389.583407513158	387.149067773243	388.861186705288	386.404723512239	381.49153858963	382.017466588752	382.410071772211	381.671898556554
-183.47170803418	-182.320086722965	-184.001392333536	-182.894344646962	-184.84502087957	-183.747102026481	-183.615739132571	-182.522600150531	-180.107996327102	-180.653350193593	-181.626203551271	-180.30065894831
-161.04086865947	-159.912255646057	-160.90969991842	-159.773283140147	-160.390547330474	-159.333337950625	-160.926913028251	-159.847212103273	-158.00140549689	-157.846478126443	-157.333624524374	-157.940783295454
-342.379396061436	-340.454704531602	-343.571845036756	-341.647402868534	-346.224223186349	-344.152193514894	-342.830241702168	-340.781193036596	-335.431754804084	-336.726275233084	-339.560965816051	-335.88305071889
-763.968896819483	-759.255352969847	-765.138288551783	-760.461390861982	-768.034269378375	-763.199155268852	-764.432272053157	-759.601046560751	-748.522052691991	-749.773468415815	-752.774005086905	-749.037342332514
-366.042284914154	-363.678921611731	-366.122380238293	-363.819223167843	-365.598605314589	-363.376766432872	-365.817673043782	-363.620119528318	-359.396771960865	-359.419232558594	-359.275149943137	-359.424855717842
-410.088538519477	-407.219208889172	-409.822640002958	-406.906709025796	-407.31730514335	-404.638384143149	-409.756651943179	-407.032480960779	-402.921890357037	-402.598043929569	-400.218937615191	-402.728240905212
-334.015089035037	-332.137636164747	-334.036051812084	-332.230074582957	-333.239349195096	-331.346992215951	-334.050067120712	-332.119697392594	-328.126330201797	-328.182154409026	-327.328944668796	-328.128605214175
39.1469109078771	39.367352249114	40.1397339130846	40.5108171303716	41.9141936174007	42.0658107548099	39.4768741484089	39.6800927599329	38.9845919593218	40.0792655333454	42.1762379895643	39.3361094707749
12.2557108119629	12.3291881120185	11.9298049376175	12.0111032511622	12.0794986183748	12.0734522835696	12.232010884095	12.2300034671557	11.6483647739324	11.3060936189906	11.3358828379637	11.6003769221747
26.3588780378825	25.7410307550974	26.0620423127161	25.4769469367182	24.3361648819032	23.9284404461116	26.0354886759151	25.6198283256977	26.188690096697	25.8613605306909	24.2754167248288	25.9649029625893
26.8205658496527	26.6304674677799	26.9046934281862	26.6527051000687	27.1679791910351	26.9882596427751	26.8210995261786	26.6406965859537	26.1692321771138	26.2437755863823	26.5314282191064	26.1932707870237
404.641247811746	402.224442566569	404.513611777049	402.123088181055	404.492445042689	402.004099695425	404.71069708351	402.186137961338	396.764618049629	396.625574553311	396.387743052723	396.803945210629
