---------------------
  #    meV     cm^-1
---------------------
  0    2.7i     22.1i
  1    1.8      14.6
  2    4.9      39.7
  3    7.1      57.1
  4   18.2     147.0
  5   19.3     155.5
  6   20.5     165.7
  7   24.1     194.3
  8   31.7     255.8
  9   32.3     260.4
 10   34.1     275.0
 11   36.7     296.4
 12   39.8     320.6
 13   39.8     321.4
 14   40.3     325.1
 15   41.3     333.1
 16   43.7     352.4
 17   44.2     356.3
 18   47.7     384.4
 19   52.1     420.3
 20  229.3    1849.8
 21  230.0    1855.4
 22  230.5    1858.8
 23  236.7    1909.1
---------------------
Zero-point energy: 0.753 eV
