---------------------
  #    meV     cm^-1
---------------------
  0   18.7i    150.6i
  1    5.0      40.3
  2    6.0      48.5
  3    6.8      55.0
  4    9.9      80.0
  5   11.3      90.9
  6   13.2     106.6
  7   15.7     126.7
  8   19.8     159.9
  9   22.2     178.8
 10   23.0     185.7
 11   24.6     198.6
 12   28.5     230.0
 13   30.2     243.9
 14   32.9     265.4
 15   33.5     270.3
 16   33.7     271.9
 17   35.5     286.4
 18   37.4     301.7
 19   41.5     334.7
 20   41.7     336.5
 21   42.5     342.6
 22   42.7     344.1
 23   44.1     355.4
 24   44.4     358.1
 25   44.9     362.5
 26   45.1     363.4
 27   45.6     367.6
 28   46.0     371.3
 29   46.6     375.8
 30   47.2     380.3
 31   47.4     381.9
 32   47.7     384.9
 33   48.2     388.5
 34   49.0     395.5
 35   51.2     413.0
 36   56.7     457.0
 37   57.3     462.5
 38   58.4     470.7
 39   59.3     478.5
 40  223.7    1804.0
 41  232.2    1872.8
 42  232.8    1877.5
 43  233.4    1882.2
 44  233.7    1885.2
 45  236.7    1909.1
 46  241.8    1950.2
 47  248.3    2002.8
---------------------
Zero-point energy: 1.640 eV
