dH	delta_dH
-248.20974642447706	9.409746424478868
-238.2097065650414	-0.5902934349568056
-233.21013344414663	-5.5898665558515575
-243.21030228258402	4.410302282585832
-229.46035147604786	-9.33964852395033
-239.45979692617286	0.6597969261746641
-244.45894803411554	5.658948034117344
-234.4595091680612	-4.3404908319369895
-241.96027930034958	3.160279300351391
-231.96065918747715	-6.839340812521044
-236.9595263216897	-1.8404736783084843
-246.96048020229588	8.160480202297691
-236.05018862887374	-2.7498113711244514
-246.04918201125548	7.24918201125729
-241.0501035813566	2.2501035813584167
-231.0498828937969	-7.750117106201287
-248.54995811192822	9.749958111930027
-238.55040803013077	-0.24959196986742427
-233.54943601018823	-5.250563989809962
-243.54935312224262	4.749353122244429
-229.80087464832906	-8.999125351669136
-239.80053399774152	1.0005339977433323
-244.80019625406277	6.000196254064576
-234.7999120948096	-4.000087905188593
-242.3007119964539	3.5007119964557205
-232.30034160298948	-6.499658397008716
-237.29975862988505	-1.5002413701131445
-247.29861238258292	8.498612382584724
-239.16971924457943	0.3697192445812334
-229.1693638164342	-9.630636183563979
-234.1687728066699	-4.6312271933283
-244.1708661921304	5.370866192132212
-231.67023900935231	-7.129760990645877
-241.66990027221794	2.869900272219752
-246.66973845874685	7.869738458748657
-236.67038591532577	-2.1296140846724256
-245.42047949033253	6.620479490334333
-235.41952980286618	-3.380470197132013
-230.42069038557196	-8.379309614426234
-240.42032191133507	1.6203219113368732
-237.92057321268106	-0.8794267873171293
-247.9203659371796	9.120365937181418
-242.91910157510569	4.119101575107493
-232.9201637753303	-5.8798362246678835
-243.859822974567	5.059822974568817
-233.85922048028067	-4.940779519717523
-228.86005972423243	-9.939940275765764
-238.85953295537126	0.05953295537307213
-236.36086972050578	-2.4391302794924172
-246.360540548127	7.560540548128813
-241.36030055114622	2.560300551148032
-231.35974586986356	-7.440254130134633
-240.11021071335324	1.3102107133550476
-230.10948855002005	-8.690511449978146
-235.11109515237092	-3.6889048476272706
-245.1106407008332	6.310640700834995
-232.61108908792028	-6.188910912077915
-242.61010307005506	3.8101030700568685
-247.6100239182664	8.8100239182682
-237.61099738773135	-1.1890026122668473
-230.73023201730803	-8.069767982690166
-240.72925252392497	1.9292525239267775
-245.72996152940368	6.929961529405489
-235.73061590063207	-3.0693840993661183
-243.23022315365642	4.430223153658233
-233.23003612992443	-5.569963870073764
-238.23018280532824	-0.5698171946699517
-248.2301376008768	9.430137600878595
-234.47907596756386	-4.320924032434334
-244.4786840472775	5.678684047279319
-239.4807727352004	0.680772735202197
-229.47990796978092	-9.320092030217268
-246.97972322963915	8.179723229640956
-236.97996170087072	-1.820038299127475
-231.97964612402802	-6.82035387597017
-241.97974082962946	3.179740829631271
-232.4491802605837	-6.350819739414504
-242.4491303753741	3.649130375375904
-247.44942143992486	8.64942143992667
-237.4504823901909	-1.3495176098072932
-239.94957363983232	1.1495736398341307
-229.9505515475041	-8.849448452494102
-234.95029254030598	-3.849707459692212
-244.95028904375292	6.150289043754725
-238.70066235934266	-0.09933764065553419
-248.70016140638532	9.900161406387127
-243.70032517275033	4.900325172752133
-233.7013216712323	-5.098678328765885
-246.1994779211902	7.399477921192016
-236.19976417246946	-2.600235827528735
-231.20006740577693	-7.599932594221258
-241.1997154792509	2.3997154792527056
-248.07949197777097	9.279491977772778
-238.07989360479232	-0.7201063952058746
-233.07914690420566	-5.720853095792535
-243.0805447622498	4.280544762251594
-235.57977546515949	-3.2202245348387066
-245.5796762798619	6.779676279863708
-240.57986036125644	1.779860361258244
-230.57973706183301	-8.220262938165178
-241.8311558797851	3.031155879786894
-231.82879392257573	-6.971206077422465
-236.8301133048718	-1.9698866951264051
-246.82993886143785	8.02993886143966
-229.33018576446383	-9.469814235534358
-239.33042671382108	0.5304267138228909
-244.3312217894546	5.531221789456396
-234.3296049478723	-4.470395052125895
-242.75993304958664	3.959933049588443
-232.76003105515318	-6.039968944845015
-237.76001747319768	-1.0399825268005145
-247.7597813970149	8.959781397016712
-230.25983630433782	-8.540163695660368
-240.26041838923064	1.4604183892324443
-245.26044747960057	6.460447479602379
-235.2588569533689	-3.541143046629287
-246.51030947114285	7.7103094711446545
-236.50912825825415	-2.2908717417440414
-231.50999319082783	-7.2900068091703645
-241.5102639031227	2.7102639031245133
-234.0094912060247	-4.790508793973487
-244.00996971712337	5.209969717125176
-239.0099093208444	0.20990932084620795
-229.00967301931522	-9.790326980682977
-237.14037480851462	-1.6596251914835705
-247.14094266986345	8.340942669865257
-242.13918941432408	3.3391894143258867
-232.14085539968406	-6.659144600314136
-244.6407843897329	5.840784389734694
-234.64039867974557	-4.159601320252619
-229.64040739716498	-9.159592602833214
-239.63967589323207	0.8396758932338741
-233.39035077501276	-5.409649224985429
-243.38948265519562	4.589482655197429
-248.39052628173582	9.590526281737624
-238.3906369682674	-0.40936303173080546
-240.88909269392084	2.0890926939226517
-230.88977829876117	-7.91022170123702
-235.89007362403632	-2.9099263759618736
-245.8900130918088	7.090013091810619
-240.49985298581305	1.6998529858148572
-230.49942875626584	-8.30057124373235
-235.50001600554515	-3.2999839944530436
-245.50018071367958	6.700180713681391
-233.0005775767895	-5.799422423208682
-243.0006826086028	4.200682608604609
-248.0016693988655	9.201669398867296
-237.99980730998504	-0.800192690013148
-244.24978840527183	5.449788405273637
-234.25088724397938	-4.549112756018815
-229.2496787844293	-9.550321215568886
-239.25006778390525	0.45006778390705904
-236.74986886173247	-2.0501311382657263
-246.74910092064601	7.9491009206478225
-241.74993512633955	2.9499351263413587
-231.7499199520389	-7.050080047959284
-234.8694769541063	-3.9305230458919027
-244.8696819275766	6.069681927578415
-239.86902254350127	1.0690225435030811
-229.8700873136887	-8.929912686309478
-247.36925539462993	8.569255394631739
-237.3699449391289	-1.4300550608692788
-232.37071433619087	-6.42928566380732
-242.36990860682374	3.5699086068255497
-231.1199297707036	-7.680070229294586
-241.11949497664784	2.3194949766496507
-246.12035539668898	7.320355396690786
-236.1207010056288	-2.6792989943693897
-243.6206605599665	4.820660559968303
-233.62005617645138	-5.179943823546807
-238.6194750116748	-0.18052498832338415
-248.62015861997236	9.820158619974166
-229.55999093410497	-9.240009065893219
-239.55974452987226	0.7597445298740695
-244.56040451183304	5.7604045118348495
-234.56044225510283	-4.2395577448953645
-242.05903071064455	3.259030710646357
-232.05967697239345	-6.740323027604745
-237.0607991563034	-1.739200843694789
-247.05965205641388	8.259652056415689
-235.80992510753873	-2.990074892459461
-245.8105455085011	7.010545508502901
-240.80966206327736	2.0096620632791655
-230.8097733372802	-7.990226662717987
-248.3096774526735	9.509677452675305
-238.31012910979968	-0.4898708901985174
-233.31093673754964	-5.489063262448553
-243.3096378664655	4.509637866467301
-245.19048223288831	6.390482232890122
-235.188722519289	-3.611277480709191
-230.19000923907646	-8.609990760921733
-240.18969128432713	1.3896912843289329
-237.69025399694823	-1.1097460030499633
-247.69042943598964	8.89042943599145
-242.69067589508217	3.890675895083973
-232.68962964603583	-6.110370353962367
