dH	delta_dH
-511.220949718277	-1.6026049417238255
-511.12512160867425	-1.6984330513265604
-507.07774341429297	-5.745811245707841
-529.3480017875112	16.52444712751037
-481.3761258856183	-31.4474287743825
-507.8382398647635	-4.9853147952372865
-518.0932963426507	5.269741682649851
-513.6722643571842	0.8487096971833807
-472.0213512267741	-40.80220343322674
-468.86116197489844	-43.96239268510237
-516.4294761067462	3.6059214467453558
-522.9012241916656	10.07766953166481
-497.7611893686566	-15.062365291344236
-540.5989862460241	27.775431586023274
-503.23107269098307	-9.59248196901774
-527.347060478823	14.523505818822173
-513.5571067155032	0.7335520555024004
-488.9191434450439	-23.904411214956895
-468.7232235563091	-44.1003311036917
-481.89069245874214	-30.932862201258672
-540.9987142325621	28.175159572561256
-485.758636717443	-27.064917942557827
-514.5964006518828	1.7728459918820363
-497.78567766512776	-15.037876994873045
-498.62476387133154	-14.198790788669271
-512.6987732018637	-0.12478145813713581
-523.8858613678307	11.062306707829862
-536.656991142066	23.833436482065167
-508.7332971699085	-4.090257490092313
-529.5820895644152	16.758534904414432
-556.0452041616169	43.22164950161607
-489.7022128151285	-23.12134184487229
-508.81265954758385	-4.010895112416961
-540.1778434846434	27.354288824642595
-505.48461855741664	-7.338936102584171
-491.40196714967317	-21.42158751032764
-491.7919537741642	-21.03160088583661
-552.2349127372723	39.41135807727153
-477.7202976005734	-35.10325705942739
-491.799705186722	-21.0238494732788
-522.655087427907	9.831532767906197
-513.6260020155765	0.8024473555757368
-528.4875003800358	15.66394572003503
-485.42546704447125	-27.398087615529562
-520.4029081209625	7.57935346096167
-478.7334347292592	-34.090119930741594
-488.7789070656087	-24.04464759439213
-523.0050459315258	10.181491271525033
-496.09884634353205	-16.724708316468764
-523.8717031582379	11.048148498237083
-515.8285191574129	3.004964497412061
-521.2658687204963	8.442314060495505
-482.9110752675912	-29.912479392409637
-514.6745964015114	1.8510417415105849
-508.3676302565051	-4.455924403495715
-537.8707978268664	25.04724316686554
-518.5140936670883	5.690539007087523
-532.4098451815931	19.586290521592332
-516.6372706740927	3.8137160140919377
-503.95551493580354	-8.868039724197274
-519.446865847132	6.623311187131208
-534.9104167996717	22.08686213967087
-497.4793572642717	-15.344197395729111
-506.98673725596484	-5.836817404035969
-523.4308061594926	10.607251499491781
-508.0210519003682	-4.802502759632603
-490.0228233664981	-22.800731293502736
-491.1417584333227	-21.681796226678102
-526.4994093855254	13.675854725524573
-517.2402891155322	4.416734455531355
-510.95896029323524	-1.8645943667655729
-503.8417835003944	-8.98177115960641
-493.4990254172295	-19.32452924277129
-522.8170866456472	9.993531985646428
-492.9893444864189	-19.834210173581937
-498.93299527973033	-13.890559380270474
-527.4002134696448	14.576658809643959
-518.3106663044773	5.487111644476499
-501.1260258663997	-11.697528793601123
-498.3534349724205	-14.470119687580336
-524.984771101871	12.161216441870238
-518.3406304963619	5.517075836361073
-464.34979263315745	-48.47376202684336
-525.0333318548768	12.209777194875983
-531.4515671459808	18.62801248597998
-498.0156535196404	-14.8079011403604
-514.6025806726275	1.779026012626673
-526.039055760607	13.215501100606161
-511.82763600827366	-0.9959186517271519
-480.3652583151188	-32.458296344882
-504.55845856007204	-8.265096099928769
-544.846633367596	32.02307870759523
-485.72588062411796	-27.097674035882847
-520.797747399628	7.974192739627142
-514.8688317603041	2.0452771003033376
-488.6459998718592	-24.177554788141606
-520.3567221807634	7.533167520762618
-541.6005816446477	28.77702698464691
-528.2533352470141	15.429780587013283
-515.5424300138211	2.7188753538202945
-514.7357559221609	1.9122012621601243
-524.3833417846427	11.559787124641844
-500.2741468826853	-12.549407777315537
-490.8323200707373	-21.991234589263513
-548.8085994756648	35.98504481566397
-529.1472937276258	16.323739067624956
-512.6858861182545	-0.13766854174627952
-522.3569179925171	9.533363332516274
-506.3872225518736	-6.436332108127203
-525.9708561716653	13.147301511664523
-490.4820807875186	-22.341473872482197
-529.722056957413	16.898502297412165
-519.202742746089	6.37918808608822
-520.3046046158671	7.481049955866297
-519.801310389281	6.9777557292801475
-512.2431021598132	-0.5804525001875618
-497.02583026091827	-15.79772439908254
-498.9935524022168	-13.830002257784031
-515.4414306080818	2.6178759480809504
-490.4033279190627	-22.42022674093812
-489.422728260539	-23.400826399461835
-526.6806406189881	13.85708595898734
-511.92758910289933	-0.8959655571014764
-525.7391710917847	12.91561643178386
-480.34904756290155	-32.47450709709926
-491.19316375208666	-21.630390907914148
-527.0669132421991	14.243358582198312
-497.1536019535862	-15.66995270641462
-502.49804341666106	-10.325511243339747
-539.6530545037568	26.829499843756025
-511.2501325474551	-1.5734221125456997
-562.5245868222956	49.70103216229484
-484.62014273222405	-28.203411927776756
-529.9498857836226	17.126331123621753
-547.2823567694178	34.45880210941698
-469.01237690046867	-43.81117775953214
-477.10895636548605	-35.71459829451476
-514.7756260240823	1.952071364081462
-505.3238570177383	-7.499697642262504
-490.93334561383574	-21.89020904616507
-511.0833701733311	-1.7401844866697047
-502.5070231156817	-10.316531544319105
-480.5662547137672	-32.257299946233616
-517.4756379300554	4.652083270054618
-528.1652441707367	15.341689510735932
-486.16144588611064	-26.662108773890168
-505.82842264898795	-6.995132011012856
-515.6349246573038	2.811369997303018
-498.31525675952184	-14.508297900478965
-474.71083411528457	-38.11272054471624
-501.04062303029355	-11.782931629707264
-509.66891763721947	-3.154637022781344
-509.2267407361662	-3.5968139238345884
-530.9312601226113	18.10770546261051
-453.70136237445263	-59.12219228554818
-491.9462213526451	-20.877333307355684
-499.88052119370104	-12.943033466299767
-512.5250841993343	-0.29847046066652183
-507.4257375851498	-5.397817074850991
-491.14804860132926	-21.675506058671544
-476.2599549301731	-36.56359972982773
-501.90525321438645	-10.918301445614361
-502.29059752446983	-10.532957135530978
-500.76052006060627	-12.063034599394541
-524.261781682018	11.438227022017145
-526.7843813791637	13.960826719162924
-498.7279763267338	-14.095578333266985
-533.5348932920292	20.7113386320284
-500.1265318696128	-12.697022790388019
-522.4586475086203	9.635092848619479
