dh_co_111	dh_o_111	dh_co_100	dh_o_100	dh_co_110	dh_o_110	dh_co_211	dh_o_211
1.21	8.71	-9.41	-3.4	-0.66	3.71	9.18	4.96
-8.79	-1.29	0.59	6.6	9.34	-6.29	-0.82	-5.04
-3.79	3.71	5.59	-8.4	4.34	8.71	-5.82	9.96
6.21	-6.29	-4.41	1.6	-5.66	-1.29	4.18	-0.04
7.46	7.46	9.34	5.35	-9.41	-0.04	5.43	8.71
-2.54	-2.54	-0.66	-4.65	0.59	9.96	-4.57	-1.29
-7.54	2.46	-5.66	0.35	5.59	-5.04	-9.57	3.71
2.46	-7.54	4.34	-9.65	-4.41	4.96	0.43	-6.29
4.96	4.96	-3.16	7.85	8.09	2.46	7.93	-3.79
-5.04	-5.04	6.84	-2.15	-1.91	-7.54	-2.07	6.21
-0.04	9.96	1.84	2.85	-6.91	7.46	-7.07	-8.79
9.96	-0.04	-8.16	-7.15	3.09	-2.54	2.93	1.21
9.94	4.98	2.75	6.97	-7.91	1.23	-4.36	1.5
-0.06	-5.02	-7.25	-3.03	2.09	-8.77	5.64	-8.5
-5.06	9.98	-2.25	1.97	7.09	6.23	0.64	6.5
4.94	-0.02	7.75	-8.03	-2.91	-3.77	-9.36	-3.5
2.44	7.48	-9.75	9.47	9.59	-1.27	-1.86	-6.0
-7.56	-2.52	0.25	-0.53	-0.41	8.73	8.14	4.0
-2.56	2.48	5.25	4.47	-5.41	-6.27	3.14	-1.0
7.44	-7.52	-4.75	-5.53	4.59	3.73	-6.86	9.0
6.19	8.73	9.0	-1.78	0.84	4.98	-3.11	-2.25
-3.81	-1.27	-1.0	8.22	-9.16	-5.02	6.89	7.75
-8.81	3.73	-6.0	-6.78	-4.16	9.98	1.89	-7.25
1.19	-6.27	4.0	3.22	5.84	-0.02	-8.11	2.75
3.69	1.23	-3.5	-4.28	-1.66	-2.52	-0.61	5.25
-6.31	-8.77	6.5	5.72	8.34	7.48	9.39	-4.75
-1.31	6.23	1.5	-9.28	3.34	-7.52	4.39	0.25
8.69	-3.77	-8.5	0.72	-6.66	2.48	-5.61	-9.75
8.07	5.61	-0.37	3.85	-3.54	6.86	5.02	-4.12
-1.93	-4.39	9.63	-6.15	6.46	-3.14	-4.98	5.88
-6.93	0.61	4.63	8.85	1.46	1.86	-9.98	-9.12
3.07	-9.39	-5.37	-1.15	-8.54	-8.14	0.02	0.88
0.57	3.11	7.13	1.35	3.96	-5.64	7.52	8.38
-9.43	-6.89	-2.87	-8.65	-6.04	4.36	-2.48	-1.62
-4.43	8.11	-7.87	6.35	-1.04	-0.64	-7.48	3.38
5.57	-1.89	2.13	-3.65	8.96	9.36	2.52	-6.62
6.82	1.86	-6.62	-9.9	5.21	8.11	6.27	4.63
-3.18	-8.14	3.38	0.1	-4.79	-1.89	-3.73	-5.37
-8.18	6.86	8.38	-4.9	-9.79	3.11	-8.73	9.63
1.82	-3.14	-1.62	5.1	0.21	-6.89	1.27	-0.37
4.32	9.36	0.88	-7.4	-7.29	-9.39	8.77	-7.87
-5.68	-0.64	-9.12	2.6	2.71	0.61	-1.23	2.13
-0.68	4.36	-4.12	-2.4	7.71	-4.39	-6.23	-2.87
9.32	-5.64	5.88	7.6	-2.29	5.61	3.77	7.13
9.0	9.67	-5.06	-3.96	3.65	-6.58	-9.04	-5.06
-1.0	-0.33	4.94	6.04	-6.35	3.42	0.96	4.94
-6.0	4.67	9.94	-8.96	-1.35	-1.58	5.96	-0.06
4.0	-5.33	-0.06	1.04	8.65	8.42	-4.04	9.94
1.5	2.17	2.44	-1.46	-3.85	5.92	-6.54	2.44
-8.5	-7.83	-7.56	8.54	6.15	-4.08	3.46	-7.56
-3.5	7.17	-2.56	-6.46	1.15	0.92	8.46	7.44
6.5	-2.83	7.44	3.54	-8.85	-9.08	-1.54	-2.56
5.25	3.42	-1.31	9.79	-5.1	-7.83	-7.79	6.19
-4.75	-6.58	8.69	-0.21	4.9	2.17	2.21	-3.81
-9.75	8.42	3.69	4.79	9.9	-2.83	7.21	1.19
0.25	-1.58	-6.31	-5.21	-0.1	7.17	-2.79	-8.81
2.75	5.92	6.19	7.29	7.4	9.67	-5.29	-1.31
-7.25	-4.08	-3.81	-2.71	-2.6	-0.33	4.71	8.69
-2.25	0.92	-8.81	2.29	-7.6	4.67	9.71	-6.31
7.75	-9.08	1.19	-7.71	2.4	-5.33	-0.29	3.69
8.38	0.29	8.07	-7.09	8.03	-0.96	0.33	8.07
-1.62	-9.71	-1.93	2.91	-1.97	9.04	-9.67	-1.93
-6.62	5.29	-6.93	-2.09	-6.97	-5.96	-4.67	3.07
3.38	-4.71	3.07	7.91	3.03	4.04	5.33	-6.93
0.88	7.79	-4.43	-9.59	-9.47	1.54	2.83	-4.43
-9.12	-2.21	5.57	0.41	0.53	-8.46	-7.17	5.57
-4.12	2.79	0.57	-4.59	5.53	6.54	-2.17	-9.43
5.88	-7.21	-9.43	5.41	-4.47	-3.46	7.83	0.57
7.13	6.54	4.32	1.66	-0.72	-4.71	1.58	-8.18
-2.87	-3.46	-5.68	-8.34	9.28	5.29	-8.42	1.82
-7.87	1.54	-0.68	6.66	4.28	-9.71	-3.42	-3.18
2.13	-8.46	9.32	-3.34	-5.72	0.29	6.58	6.82
4.63	4.04	-8.18	4.16	1.78	2.79	4.08	4.32
-5.37	-5.96	1.82	-5.84	-8.22	-7.21	-5.92	-5.68
-0.37	9.04	6.82	9.16	-3.22	7.79	-0.92	9.32
9.63	-0.96	-3.18	-0.84	6.78	-2.21	9.08	-0.68
9.47	7.01	6.35	-8.18	-6.5	-3.61	-6.39	-7.4
-0.53	-2.99	-3.65	1.82	3.5	6.39	3.61	2.6
-5.53	2.01	-8.65	-3.18	8.5	-8.61	8.61	-2.4
4.47	-7.99	1.35	6.82	-1.5	1.39	-1.39	7.6
1.97	4.51	-1.15	-5.68	6.0	3.89	-8.89	0.1
-8.03	-5.49	8.85	4.32	-4.0	-6.11	1.11	-9.9
-3.03	9.51	3.85	-0.68	-9.0	8.89	6.11	5.1
6.97	-0.49	-6.15	9.32	1.0	-1.11	-3.89	-4.9
5.72	0.76	0.1	3.07	4.75	-2.36	-5.14	6.35
-4.28	-9.24	-9.9	-6.93	-5.25	7.64	4.86	-3.65
-9.28	5.76	-4.9	8.07	-0.25	-7.36	9.86	1.35
0.72	-4.24	5.1	-1.93	9.75	2.64	-0.14	-8.65
3.22	8.26	-7.4	0.57	-2.75	0.14	-7.64	-1.15
-6.78	-1.74	2.6	-9.43	7.25	-9.86	2.36	8.85
-1.78	3.26	7.6	5.57	2.25	5.14	7.36	-6.15
8.22	-6.74	-2.4	-4.43	-7.75	-4.86	-2.64	3.85
7.6	2.64	-9.28	-0.06	-2.13	-9.24	2.99	9.47
-2.4	-7.36	0.72	9.94	7.87	0.76	-7.01	-0.53
-7.4	7.64	5.72	-5.06	2.87	-4.24	-2.01	4.47
2.6	-2.36	-4.28	4.94	-7.13	5.76	7.99	-5.53
0.1	5.14	3.22	-2.56	0.37	8.26	0.49	-3.03
-9.9	-4.86	-6.78	7.44	-9.63	-1.74	-9.51	6.97
-4.9	0.14	-1.78	-7.56	-4.63	3.26	-4.51	-8.03
5.1	-9.86	8.22	2.44	5.37	-6.74	5.49	1.97
6.35	8.89	-3.03	6.19	9.12	-5.49	4.24	-9.28
-3.65	-1.11	6.97	-3.81	-0.88	4.51	-5.76	0.72
-8.65	3.89	1.97	1.19	-5.88	-0.49	-0.76	-4.28
1.35	-6.11	-8.03	-8.81	4.12	9.51	9.24	5.72
3.85	1.39	9.47	8.69	-8.38	7.01	1.74	3.22
-6.15	-8.61	-0.53	-1.31	1.62	-2.99	-8.26	-6.78
-1.15	6.39	-5.53	3.69	6.62	2.01	-3.26	8.22
8.85	-3.61	4.47	-6.31	-3.38	-7.99	6.74	-1.78
9.16	2.32	-3.96	0.25	1.93	9.2	-1.7	1.04
-0.84	-7.68	6.04	-9.75	-8.07	-0.8	8.3	-8.96
-5.84	7.32	1.04	5.25	-3.07	4.2	3.3	6.04
4.16	-2.68	-8.96	-4.75	6.93	-5.8	-6.7	-3.96
1.66	9.82	8.54	2.75	-0.57	-8.3	-4.2	-6.46
-8.34	-0.18	-1.46	-7.25	9.43	1.7	5.8	3.54
-3.34	4.82	-6.46	7.75	4.43	-3.3	0.8	-1.46
6.66	-5.18	3.54	-2.25	-5.57	6.7	-9.2	8.54
5.41	6.07	-7.71	-6.0	-9.32	5.45	-0.45	-0.21
-4.59	-3.93	2.29	4.0	0.68	-4.55	9.55	9.79
-9.59	1.07	7.29	-1.0	5.68	0.45	4.55	-5.21
0.41	-8.93	-2.71	9.0	-4.32	-9.55	-5.45	4.79
2.91	3.57	4.79	-8.5	8.18	-7.05	-2.95	7.29
-7.09	-6.43	-5.21	1.5	-1.82	2.95	7.05	-2.71
-2.09	8.57	-0.21	-3.5	-6.82	-2.05	2.05	2.29
7.91	-1.43	9.79	6.5	3.18	7.95	-7.95	-7.71
8.54	7.95	1.66	8.38	6.31	3.57	7.68	-3.34
-1.46	-2.05	-8.34	-1.62	-3.69	-6.43	-2.32	6.66
-6.46	2.95	-3.34	3.38	-8.69	8.57	-7.32	-8.34
3.54	-7.05	6.66	-6.62	1.31	-1.43	2.68	1.66
1.04	0.45	-5.84	5.88	-6.19	-3.93	5.18	9.16
-8.96	-9.55	4.16	-4.12	3.81	6.07	-4.82	-0.84
-3.96	5.45	9.16	0.88	8.81	-8.93	-9.82	4.16
6.04	-4.55	-0.84	-9.12	-1.19	1.07	0.18	-5.84
7.29	4.2	5.41	-2.87	-4.94	2.32	8.93	2.91
-2.71	-5.8	-4.59	7.13	5.06	-7.68	-1.07	-7.09
-7.71	9.2	-9.59	-7.87	0.06	7.32	-6.07	7.91
2.29	-0.8	0.41	2.13	-9.94	-2.68	3.93	-2.09
4.79	6.7	-2.09	-0.37	2.56	-0.18	6.43	-9.59
-5.21	-3.3	7.91	9.63	-7.44	9.82	-3.57	0.41
-0.21	1.7	2.91	-5.37	-2.44	-5.18	-8.57	-4.59
9.79	-8.3	-7.09	4.63	7.56	4.82	1.43	5.41
9.71	8.34	-1.7	-6.86	-1.43	7.87	-5.06	8.61
-0.29	-1.66	8.3	3.14	8.57	-2.13	4.94	-1.39
-5.29	3.34	3.3	-1.86	3.57	2.87	9.94	3.61
4.71	-6.66	-6.7	8.14	-6.43	-7.13	-0.06	-6.39
2.21	0.84	5.8	-9.36	1.07	-9.63	-7.56	-3.89
-7.79	-9.16	-4.2	0.64	-8.93	0.37	2.44	6.11
-2.79	5.84	-9.2	-4.36	-3.93	-4.63	7.44	-8.89
7.21	-4.16	0.8	5.64	6.07	5.37	-2.56	1.11
5.96	4.59	-5.45	1.89	9.82	6.62	-6.31	-7.64
-4.04	-5.41	4.55	-8.11	-0.18	-3.38	3.69	2.36
-9.04	9.59	9.55	6.89	-5.18	1.62	8.69	-2.64
0.96	-0.41	-0.45	-3.11	4.82	-8.38	-1.31	7.36
3.46	7.09	2.05	4.39	-7.68	-5.88	-8.81	4.86
-6.54	-2.91	-7.95	-5.61	2.32	4.12	1.19	-5.14
-1.54	2.09	-2.95	9.39	7.32	-0.88	6.19	9.86
8.46	-7.91	7.05	-0.61	-2.68	9.12	-3.81	-0.14
7.83	1.46	3.93	-4.98	-7.05	4.75	4.32	-5.76
-2.17	-8.54	-6.07	5.02	2.95	-5.25	-5.68	4.24
-7.17	6.46	-1.07	-9.98	7.95	9.75	-0.68	-0.76
2.83	-3.54	8.93	0.02	-2.05	-0.25	9.32	9.24
0.33	8.96	-8.57	-2.48	5.45	-2.75	1.82	1.74
-9.67	-1.04	1.43	7.52	-4.55	7.25	-8.18	-8.26
-4.67	3.96	6.43	-7.48	-9.55	-7.75	-3.18	6.74
5.33	-6.04	-3.57	2.52	0.45	2.25	6.82	-3.26
6.58	5.21	7.68	8.77	4.2	1.0	3.07	5.49
-3.42	-4.79	-2.32	-1.23	-5.8	-9.0	-6.93	-4.51
-8.42	0.21	-7.32	3.77	-0.8	6.0	-1.93	0.49
1.58	-9.79	2.68	-6.23	9.2	-4.0	8.07	-9.51
4.08	2.71	-4.82	6.27	-3.3	-1.5	0.57	-2.01
-5.92	-7.29	5.18	-3.73	6.7	8.5	-9.43	7.99
-0.92	7.71	0.18	1.27	1.7	-6.5	-4.43	-7.01
9.08	-2.29	-9.82	-8.73	-8.3	3.5	5.57	2.99
8.77	3.65	9.24	4.71	7.01	-4.94	-0.37	-4.82
-1.23	-6.35	-0.76	-5.29	-2.99	5.06	9.63	5.18
-6.23	8.65	-5.76	9.71	-7.99	-9.94	4.63	-9.82
