z,Density,Pressure,Velocity,Temperature,H2,H2O,CO,CO2,O2,CH4,N2,Rh(100),H(100),CO(100),OH(100),O(100),CO2(100),H2O(100),tCOOH(100),cCOOH(100),HCOO(100),C(100),CH(100),CH2(100),CH3(100),OCH(100),Rh(110),H(110),CO(110),OH(110),O(110),CO2(110),H2O(110),tCOOH(110),cCOOH(110),HCOO(110),C(110),CH(110),CH2(110),CH3(110),OCH(110),Rh(111),H(111),CO(111),OH(111),O(111),CO2(111),H2O(111),tCOOH(111),cCOOH(111),HCOO(111),C(111),CH(111),CH2(111),CH3(111),OCH(111),Rh(311),H(311),CO(311),OH(311),O(311),CO2(311),H2O(311),tCOOH(311),cCOOH(311),HCOO(311),C(311),CH(311),CH2(311),CH3(311),OCH(311),Rh(331),H(331),CO(331),OH(331),O(331),CO2(331),H2O(331),tCOOH(331),cCOOH(331),HCOO(331),C(331),CH(331),CH2(331),CH3(331),OCH(331)
0.0,1.806127321972756,100000.0,0.46194563873321165,723.15,0.0,0.023900000000000005,0.015900000000000004,0.0,0.0,0.0,0.9601999999999999,0.19538060898687823,0.04564332640176333,0.6090512138234454,0.00012305534484778412,0.026632665579959962,1.3828775561610082e-08,8.593581329205613e-08,5.5243063112535356e-11,3.07126550123979e-11,2.4881166033149244e-12,0.1229539370930333,0.0002150531685664857,3.140649108103505e-12,2.4422504577147075e-15,3.9745920711742276e-08,0.1989337271760644,0.0001734489392848108,0.8004761811940636,8.990775757239164e-05,0.00032552786443385825,1.0680906011813403e-11,2.7400609254805315e-07,1.5404601455239379e-09,2.07441588905081e-09,2.1449331099847996e-10,9.277854303361213e-07,3.452896910661676e-10,7.204410655747335e-14,3.4855967319502707e-15,1.0916378137222763e-09,0.5726798738762593,0.0004917291502098484,0.42666315911935865,2.504818515100214e-06,0.00016265162292841129,1.5345011362828332e-13,2.0461035077818838e-08,1.1407798651060346e-09,4.672689739221107e-10,1.463063172237885e-13,1.4924884708344546e-08,4.437621717089617e-08,1.4442303365238924e-13,1.9148536188681957e-15,4.207190681832167e-11,0.11507266515580494,0.00044879576290229043,0.8812970822412981,0.0019206843052379447,0.0012457088732127617,1.0556248497990972e-10,2.906719297520787e-07,2.654556148993974e-10,6.450608482208754e-10,9.389157038155358e-10,1.4730055500954028e-05,3.8985896049178285e-08,3.2021342834565125e-13,2.7611991298602233e-14,1.993853600200125e-09,0.16561090307823245,0.0005601166625318054,0.8316055762722366,0.00014525852923412473,0.002060846960873423,1.6131858838145408e-12,3.8088522596235e-07,1.7970608313271542e-09,1.6173792702163773e-09,1.27184616713178e-10,1.687766733411435e-05,3.4376397650383615e-08,2.4291559665191465e-13,1.747740491521844e-14,2.024391750297098e-09
9.999999682655225e-21,1.806127321972756,100000.0,0.46194563873321165,723.15,1.3991296982691142e-18,0.023900000000000005,0.015900000000000004,1.3991296984359042e-18,8.234417317693795e-41,5.559663019881621e-29,0.9601999999999999,0.19538061653635092,0.045643328274212344,0.6090512123796955,0.00012305535144812067,0.026632667235166236,1.3828776385209434e-08,8.593581658063892e-08,5.524306443874345e-11,3.071265606047362e-11,2.4881167533048938e-12,0.12295392746878035,0.00021505315224575711,3.1406488772409087e-12,2.442250284019727e-15,3.9745921005947715e-08,0.19893373891143648,0.00017344895146266528,0.8004761694166447,8.990776416971036e-05,0.00032552788781088746,1.0680906617134767e-11,2.7400610871201073e-07,1.5404600872476755e-09,2.0744158132635626e-09,2.1449332464492887e-10,9.277853142088374e-07,3.452896517212972e-10,7.204409982412457e-14,3.485596445918332e-15,1.0916377706202417e-09,0.5726798804544931,0.0004917291619593477,0.42666315252483306,2.5048185669589467e-06,0.00016265162745112032,1.5345011476901252e-13,2.046103531283281e-08,1.140779750234894e-09,4.672689287358736e-10,1.463063216722712e-13,1.492488265099321e-08,4.437621160519847e-08,1.4442301733067833e-13,1.914853432074235e-15,4.2071901181037584e-11,0.11507267391396746,0.00044879579821316553,0.8812970731405095,0.0019206844796733154,0.0012457090056941956,1.0556249887584364e-10,2.906719518726117e-07,2.6545560612225604e-10,6.450608754307882e-10,9.38915797351247e-10,1.4730054899498806e-05,3.898589455167078e-08,3.202134173256601e-13,2.7611990492125026e-14,1.9938536800054374e-09,0.16561091376088427,0.0005601167050921865,0.8316055653726812,0.00014525854055974844,0.0020608471259336287,1.613185973856228e-12,3.808852505310446e-07,1.7970607525628707e-09,1.617379212158625e-09,1.2718462550572455e-10,1.6877665314489185e-05,3.437639393396812e-08,2.429155747148506e-13,1.747740358768607e-14,2.024391682693865e-09
1.999999936531045e-20,1.806127321972756,100000.0,0.46194563873321165,723.15,2.7982593947732735e-18,0.023900000000000005,0.015900000000000004,2.7982593951068538e-18,1.6468834627523164e-40,1.1119326044188726e-28,0.9601999999999999,0.19538061633084702,0.04564332820628474,0.6090512124330438,0.00012305535128438735,0.026632667199084185,1.3828776367714298e-08,8.593581649059492e-08,5.524306440938728e-11,3.071265603646932e-11,2.4881167489423396e-12,0.12295392772475522,0.00021505315259961875,3.140648881038098e-12,2.4422502859029307e-15,3.974592098116156e-08,0.19893373881340484,0.00017344895130479856,0.800476169515141,8.990776408283539e-05,0.00032552788758916405,1.0680906611256177e-11,2.740061085769845e-07,1.5404600881117e-09,2.0744158143725753e-09,2.14493324396707e-10,9.277853157971162e-07,3.452896521682808e-10,7.204409990505257e-14,3.4855964483951973e-15,1.0916377714040723e-09,0.5726798804225081,0.0004917291617256746,0.4266631525571079,2.5048185663178427e-06,0.00016265162739582554,1.5345011473788707e-13,2.0461035311689802e-08,1.1407797515413599e-09,4.672689292482221e-10,1.463063215726218e-13,1.492488269215624e-08,4.4376211708986784e-08,1.444230176078934e-13,1.9148534349911455e-15,4.20719012395054e-11,0.11507267386444285,0.0004487957978229596,0.8812970731931298,0.0019206844780146894,0.001245709004607674,1.0556249870281026e-10,2.9067195174756e-07,2.6545560617858156e-10,6.450608750664264e-10,9.389157962063686e-10,1.4730054939315056e-05,3.8985894640001255e-08,3.202134178993677e-13,2.7611990528629608e-14,1.9938536798267648e-09,0.1656109135798714,0.0005601167042500813,0.8316055655574901,0.0001452585403351494,0.002060847123186054,1.61318597220282e-12,3.80885250114738e-07,1.797060753718935e-09,1.6173792130445229e-09,1.2718462528224095e-10,1.6877665333357582e-05,3.437639395837398e-08,2.4291557482682275e-13,1.7477403590045758e-14,2.024391684091377e-09
3.99999987306209e-20,1.806127321972756,100000.0,0.46194563873321165,723.15,5.596518791629098e-18,0.0239,0.0159,5.59651879229626e-18,3.293766926426173e-40,2.223865208325512e-28,0.9601999999999999,0.19538062019063798,0.04564332921535098,0.609051211653175,0.00012305535461064289,0.026632668018000995,1.3828776773820381e-08,8.593581817353452e-08,5.524306506690715e-11,3.0712656558572e-11,2.4881168264911076e-12,0.12295392282133955,0.00021505314452916749,3.1406487705648188e-12,2.4422502057562172e-15,3.974592118491037e-08,0.1989337441372215,0.00017344895700087921,0.8004761641719017,8.990776717284273e-05,0.000325527898275361,1.0680906888402756e-11,2.740061159098543e-07,1.540460060541253e-09,2.0744157785633905e-09,2.1449333099897855e-10,9.277852612375257e-07,3.452896339618781e-10,7.204409677573102e-14,3.4855963184019918e-15,1.0916377505685701e-09,0.5726798833377035,0.0004917291674710283,0.4266631496340514,2.504818590484802e-06,0.00016265162950155658,1.5345011532154637e-13,2.0461035415839008e-08,1.1407796983815748e-09,4.672689083422077e-10,1.4630632378293846e-13,1.492488168563448e-08,4.437620900922148e-08,1.4442300977372913e-13,1.914853346113552e-15,4.207189864810368e-11,0.11507267776646303,0.00044879581413632833,0.8812970691349232,0.0019206845577843168,0.0012457090646615836,1.0556250518206044e-10,2.9067196160281044e-07,2.654556022474421e-10,6.45060887830471e-10,9.38915839762088e-10,1.4730054560210397e-05,3.898589372906297e-08,3.202134114288823e-13,2.761199007183467e-14,1.9938537146526373e-09,0.16561091870584838,0.0005601167250423253,0.8316055603270615,0.00014525854586973654,0.002060847202241839,1.6131860158136785e-12,3.8088526190381304e-07,1.7970607164753095e-09,1.6173791854892859e-09,1.2718462972973783e-10,1.687766441117518e-05,3.437639229296579e-08,2.4291556509427736e-13,1.747740301457299e-14,2.0243916508850076e-09
7.99999974612418e-20,1.806127321972756,100000.0,0.46194563873321165,723.15,1.1193037577824034e-17,0.023899999999999994,0.015899999999999994,1.1193037579158361e-17,6.587533850320174e-40,4.447730418457401e-28,0.9601999999999999,0.19538061634905357,0.04564332821981007,0.6090512124386067,0.00012305535130001873,0.026632667199661092,1.382877636817878e-08,8.593581649868872e-08,5.524306441004313e-11,3.07126560379642e-11,2.488116749634888e-12,0.12295392768689124,0.00021505315257707938,3.1406488813469347e-12,2.4422502866401264e-15,3.974592101770091e-08,0.1989337387832881,0.00017344895128825082,0.8004761695453162,8.990776407667791e-05,0.00032552788755282777,1.068090661053115e-11,2.740061085355025e-07,1.5404600885950071e-09,2.0744158150141217e-09,2.144933243728189e-10,9.277853160837014e-07,3.4528965229427326e-10,7.204409992633658e-14,3.4855964496082528e-15,1.0916377717526056e-09,0.5726798804090235,0.0004917291617405622,0.42666315257057413,2.5048185664047775e-06,0.00016265162739909246,1.5345011474892095e-13,2.0461035311208185e-08,1.140779751987568e-09,4.672689294294539e-10,1.4630632157442615e-13,1.4924882691631143e-08,4.4376211709803714e-08,1.4442301761832656e-13,1.9148534351793192e-15,4.207190126189956e-11,0.11507267377966587,0.0004487957975829193,0.8812970732803553,0.0019206844768333029,0.0012457090035975602,1.0556249863077968e-10,2.9067195153341644e-07,2.654556062685587e-10,6.4506087499359e-10,9.389157956672648e-10,1.4730054922559208e-05,3.898589460357321e-08,3.202134176592884e-13,2.761199051261775e-14,1.9938536802154648e-09,0.16561091353403787,0.0005601167041265288,0.8316055656039676,0.00014525854030710672,0.002060847122690736,1.613185972075834e-12,3.8088525000932694e-07,1.7970607542309608e-09,1.6173792134957896e-09,1.2718462525214018e-10,1.6877665336471526e-05,3.4376393966604385e-08,2.429155748759884e-13,1.7477403593760267e-14,2.02439168473209e-09
1.599999949224836e-19,1.806127321972756,100000.0,0.46194563873321165,723.15,2.2386075152414065e-17,0.023899999999999984,0.015899999999999987,2.2386075155082704e-17,1.3175067699157618e-39,8.895460837867694e-28,0.9601999999999999,0.1953806163769697,0.045643328226603136,0.6090512124280828,0.00012305535132179417,0.02663266720539068,1.382877637089765e-08,8.593581651088378e-08,5.524306441466801e-11,3.071265604142404e-11,2.48811675012668e-12,0.12295392765700461,0.00021505315252608512,3.140648880620893e-12,2.442250286090391e-15,3.9745921009923774e-08,0.19893373880910895,0.00017344895131948563,0.8004761695194009,8.990776409287085e-05,0.00032552788760079195,1.0680906611760977e-11,2.7400610857106725e-07,1.5404600882938613e-09,2.074415814620509e-09,2.1449332442111954e-10,9.277853157293713e-07,3.452896521797658e-10,7.20440999060784e-14,3.4855964488045664e-15,1.091637771509518e-09,0.5726798804185171,0.0004917291617739575,0.4266631525610391,2.504818566480184e-06,0.00016265162740699082,1.5345011475045195e-13,2.0461035311547345e-08,1.1407797516272183e-09,4.672689292860423e-10,1.4630632159007519e-13,1.4924882685023885e-08,4.4376211692438493e-08,1.444230175692251e-13,1.9148534346365368e-15,4.207190124497738e-11,0.11507267381514104,0.0004487957977243266,0.8812970732435843,0.001920684477485233,0.0012457090041010119,1.0556249868241094e-10,2.906719516230178e-07,2.6545560623016144e-10,6.450608750762572e-10,9.389157960285146e-10,1.473005492141417e-05,3.898589460078068e-08,3.2021341764215036e-13,2.7611990511751083e-14,1.9938536801157684e-09,0.16561091357854255,0.0005601167043045538,0.8316055655586332,0.00014525854035292958,0.00206084712330049,1.6131859724091025e-12,3.8088525011168176e-07,1.7970607538726988e-09,1.6173792132017124e-09,1.2718462529844162e-10,1.6877665332347922e-05,3.437639395989353e-08,2.4291557484137005e-13,1.7477403592145232e-14,2.024391684292504e-09
3.199999898449672e-19,1.806127321972756,100000.0,0.46194563873321165,723.15,4.477215031067162e-17,0.02389999999999996,0.015899999999999963,4.477215031600891e-17,2.635013540119437e-39,1.7790921673219744e-27,0.9601999999999999,0.19538061643415666,0.04564332824045584,0.609051212406286,0.0001230553513666978,0.026632667217214044,1.3828776376506164e-08,8.593581653586145e-08,5.524306442414005e-11,3.0712656048535254e-11,2.488116751136414e-12,0.12295392759599849,0.0002150531524217053,3.140648879130452e-12,2.442250284958429e-15,3.974592099378865e-08,0.19893373886245092,0.00017344895138403612,0.8004761694658615,8.990776412641879e-05,0.00032552788770013225,1.0680906614308672e-11,2.740061086445388e-07,1.5404600876793337e-09,2.0744158138177327e-09,2.1449332452148354e-10,9.277853150011736e-07,3.4528965194467173e-10,7.204409986457213e-14,3.4855964471614484e-15,1.0916377710114847e-09,0.5726798804385039,0.0004917291618432824,0.42666315254096604,2.5048185666394764e-06,0.00016265162742355087,1.534501147537436e-13,2.046103531226139e-08,1.1407797508871857e-09,4.672689289917012e-10,1.463063216227945e-13,1.49248826714802e-08,4.437621165688091e-08,1.4442301746882275e-13,1.9148534335288794e-15,4.207190121027284e-11,0.11507267388921956,0.00044879579801887883,0.8812970731668007,0.001920684478846699,0.0012457090051521125,1.0556249878973383e-10,2.9067195181012156e-07,2.654556061503613e-10,6.450608752492836e-10,9.389157967813898e-10,1.4730054919274657e-05,3.898589459555182e-08,3.2021341761077687e-13,2.7611990510277706e-14,1.9938536799225444e-09,0.16561091367073716,0.0005601167046732235,0.8316055654647189,0.00014525854044796963,0.002060847124564924,1.6131859731022538e-12,3.80885250323717e-07,1.7970607531393198e-09,1.6173792126002727e-09,1.2718462539463396e-10,1.6877665323924407e-05,3.4376393946226394e-08,2.4291557477136495e-13,1.7477403588922262e-14,2.024391683389926e-09
6.399999796899344e-19,1.806127321972756,100000.0,0.46194563873321165,723.15,8.954430062712451e-17,0.023899999999999914,0.015899999999999918,8.954430063779906e-17,5.270027080518721e-39,3.558184334399459e-27,0.9601999999999999,0.19538061643413598,0.04564332824052513,0.6090512124064164,0.00012305535136662666,0.02663266721717084,1.3828776376487169e-08,8.593581653585408e-08,5.524306442412134e-11,3.071265604852278e-11,2.4881167511380748e-12,0.12295392759586278,0.0002150531524218172,3.1406488791371888e-12,2.4422502849676458e-15,3.974592099419638e-08,0.1989337388620034,0.00017344895138368818,0.8004761694663106,8.990776412618093e-05,0.0003255278876992594,1.0680906614402288e-11,2.740061086439219e-07,1.5404600876865707e-09,2.074415813827159e-09,2.1449332452083712e-10,9.277853150075199e-07,3.452896519471177e-10,7.204409986502762e-14,3.4855964471842004e-15,1.091637771018567e-09,0.5726798804382948,0.0004917291618432501,0.4266631525411756,2.504818566638227e-06,0.00016265162742340006,1.534501147539642e-13,2.046103531225388e-08,1.1407797508938667e-09,4.67268928994348e-10,1.4630632162273102e-13,1.4924882671532017e-08,4.437621165704812e-08,1.4442301746941016e-13,1.914853433536435e-15,4.207190121062582e-11,0.11507267388834165,0.0004487957980161778,0.881297073167707,0.0019206844788325057,0.001245709005140441,1.0556249878888191e-10,2.9067195180790355e-07,2.654556061512783e-10,6.450608752478379e-10,9.38915796774811e-10,1.4730054919147634e-05,3.898589459527893e-08,3.2021341760902017e-13,2.7611990510163567e-14,1.993853679929507e-09,0.16561091366965433,0.0005601167046697418,0.8316055654658205,0.00014525854044696897,0.0020608471245502935,1.6131859731678602e-12,3.8088525032122607e-07,1.7970607531486016e-09,1.6173792126084285e-09,1.2718462539370542e-10,1.687766532396793e-05,3.43763939463257e-08,2.429155747719234e-13,1.7477403588960105e-14,2.0243916834053714e-09
1.2799999593798688e-18,1.806127321972756,100000.0,0.46194563873321165,723.15,1.7908860126007516e-16,0.023899999999999828,0.015899999999999827,1.790886012814243e-16,1.0540054161321583e-38,7.116368668552236e-27,0.9601999999999999,0.19538061643410962,0.04564332824046644,0.6090512124062826,0.00012305535136662344,0.026632667217190507,1.382877637649397e-08,8.593581653584128e-08,5.5243064424124664e-11,3.071265604852336e-11,2.4881167511353735e-12,0.12295392759606151,0.00021505315242191723,3.1406488791350328e-12,2.4422502849631477e-15,3.974592099380053e-08,0.198933738862434,0.000173448951384167,0.8004761694658786,8.990776412640225e-05,0.0003255278876998518,1.0680906614646434e-11,2.740061086445139e-07,1.5404600876794787e-09,2.0744158138179027e-09,2.1449332452141147e-10,9.277853150020903e-07,3.4528965194530267e-10,7.20440998647469e-14,3.4855964471727966e-15,1.091637771012613e-09,0.5726798804384974,0.0004917291618436551,0.4266631525409728,2.504818566638538e-06,0.00016265162742342703,1.5345011475435243e-13,2.0461035312261043e-08,1.140779750887178e-09,4.672689289916699e-10,1.4630632162275793e-13,1.4924882671491098e-08,4.437621165694741e-08,1.4442301746915028e-13,1.9148534335342098e-15,4.207190121031711e-11,0.1150726738891884,0.00044879579801897066,0.8812970731668341,0.0019206844788455196,0.0012457090051508457,1.055624987898315e-10,2.9067195181004125e-07,2.6545560615039585e-10,6.450608752490564e-10,9.389157967809311e-10,1.4730054919281767e-05,3.89858945955891e-08,3.202134176112398e-13,2.7611990510331427e-14,1.993853679923148e-09,0.16561091367070066,0.0005601167046735461,0.8316055654647573,0.00014525854044792152,0.0020608471245628928,1.6131859733188354e-12,3.8088525032363106e-07,1.7970607531395758e-09,1.6173792126004648e-09,1.27184625394574e-10,1.6877665323938816e-05,3.437639394628308e-08,2.429155747719386e-13,1.7477403588976277e-14,2.0243916833920765e-09
2.5599999187597377e-18,1.806127321972756,100000.0,0.46194563873321165,723.15,3.581772025257867e-16,0.023899999999999647,0.015899999999999647,3.5817720256848505e-16,2.10801083228973e-38,1.4232737336888674e-26,0.9601999999999999,0.19538061643405885,0.04564332824048136,0.6090512124062698,0.00012305535136653697,0.026632667217162852,1.3828776376479451e-08,8.593581653581947e-08,5.524306442410619e-11,3.0712656048509275e-11,2.488116751134148e-12,0.12295392759613748,0.00021505315242217627,3.1406488791406587e-12,2.442250284968956e-15,3.974592099380134e-08,0.19893373886243684,0.00017344895138436916,0.8004761694658759,8.990776412639545e-05,0.0003255278876995247,1.0680906615097953e-11,2.7400610864451575e-07,1.540460087679361e-09,2.0744158138177277e-09,2.144933245213608e-10,9.277853150029942e-07,3.452896519460367e-10,7.204409986496141e-14,3.4855964471871483e-15,1.0916377710138231e-09,0.5726798804384978,0.0004917291618441747,0.42666315254097154,2.504818566637344e-06,0.00016265162742327006,1.5345011475516572e-13,2.0461035312260905e-08,1.1407797508868245e-09,4.67268928991492e-10,1.4630632162271982e-13,1.4924882671501352e-08,4.4376211657024674e-08,1.4442301746955428e-13,1.9148534335409573e-15,4.207190121035958e-11,0.11507267388919419,0.00044879579801925857,0.8812970731668298,0.001920684478844765,0.0012457090051498044,1.0556249879001676e-10,2.9067195181005385e-07,2.6545560615039156e-10,6.45060875248844e-10,9.389157967807256e-10,1.4730054919295436e-05,3.898589459564818e-08,3.2021341761192414e-13,2.761199051040814e-14,1.993853679923812e-09,0.16561091367070774,0.0005601167046741807,0.8316055654647517,0.0001452585404479118,0.0020608471245609156,1.6131859736079794e-12,3.808852503236443e-07,1.7970607531394712e-09,1.6173792126003333e-09,1.2718462539454757e-10,1.6877665323955727e-05,3.437639394635498e-08,2.4291557477269023e-13,1.747740358904805e-14,2.0243916833942446e-09
