z,Density,Pressure,Velocity,Temperature,H2,H2O,CO,CO2,O2,CH4,N2,Rh(100),H(100),CO(100),OH(100),O(100),CO2(100),H2O(100),tCOOH(100),cCOOH(100),HCOO(100),C(100),CH(100),CH2(100),CH3(100),OCH(100),Rh(110),H(110),CO(110),OH(110),O(110),CO2(110),H2O(110),tCOOH(110),cCOOH(110),HCOO(110),C(110),CH(110),CH2(110),CH3(110),OCH(110),Rh(111),H(111),CO(111),OH(111),O(111),CO2(111),H2O(111),tCOOH(111),cCOOH(111),HCOO(111),C(111),CH(111),CH2(111),CH3(111),OCH(111),Rh(311),H(311),CO(311),OH(311),O(311),CO2(311),H2O(311),tCOOH(311),cCOOH(311),HCOO(311),C(311),CH(311),CH2(311),CH3(311),OCH(311),Rh(331),H(331),CO(331),OH(331),O(331),CO2(331),H2O(331),tCOOH(331),cCOOH(331),HCOO(331),C(331),CH(331),CH2(331),CH3(331),OCH(331)
0.0,2.055885646244727,100000.0,0.4058263848021892,823.15,0.0,0.023900000000000005,0.015900000000000004,0.0,0.0,0.0,0.9601999999999999,0.36637791860874763,0.0708401830359638,0.4954652996392403,7.735242290187744e-05,0.01907574265757416,2.6135983669058144e-08,9.564959130584677e-08,1.1769329100288296e-10,7.650275109131468e-11,6.717851989588222e-12,0.048027153284793817,0.0001362024762615563,1.2262302975896965e-11,1.3418848182308067e-14,2.5875751885047392e-08,0.4519397628506628,9.681497982591077e-06,0.5479966815974573,2.173168165369447e-07,2.888303959930137e-05,3.8187306839782525e-12,3.161950243393505e-07,1.3815754882884357e-12,2.0077609937393035e-12,5.968939926459994e-16,2.4457111887412712e-05,3.4784286975073954e-10,2.6415064068710083e-17,2.589040874573213e-20,3.5518116417466134e-11,0.7125258111683573,0.00010105292171529763,0.2859260116493047,7.214031418327154e-06,0.001439890336236377,8.284164307762925e-12,1.6873986236758647e-08,5.881318001322769e-10,3.180828227854949e-10,2.7412495762928667e-14,1.6154654861057137e-09,4.834401745738408e-10,7.53376030919121e-16,2.4755305887260624e-18,5.549306235031168e-12,0.2623035969946886,0.00013816676927926928,0.6531397652497495,0.007277720451164654,0.07714015905325343,2.0999953375199424e-10,3.0375375731928084e-07,4.28875027933915e-10,3.6430563779401623e-09,3.013389537830947e-12,2.8308106463728457e-07,1.341684163628509e-10,3.5066578967900915e-16,4.2500954497554214e-18,2.2792905818081653e-10,0.3974270858209632,2.452804197558154e-05,0.601781072669122,2.156939606165601e-06,0.0007044891476187701,2.2704803957911912e-12,4.3172366458070557e-07,1.3726262678353751e-11,1.2316485429942266e-11,1.2268732158291348e-15,6.023223346707832e-05,3.3341119302567195e-09,1.0177390069327315e-15,1.4406682845694813e-18,6.115540950175735e-11
9.999999682655225e-21,2.055885646244727,100000.0,0.4058263848021892,823.15,4.876948360060172e-18,0.023900000000000005,0.0159,4.876948360725471e-18,2.5960440937454544e-35,2.217661765278449e-28,0.9601999999999999,0.3663779186087476,0.07084018303596393,0.49546529963924046,7.735242290187732e-05,0.019075742657574103,2.613598366905808e-08,9.564959130584677e-08,1.1769329100288288e-10,7.650275109131459e-11,6.7178519895882175e-12,0.04802715328479399,0.00013620247626155703,1.2262302975897055e-11,1.3418848182308191e-14,2.5875751885047435e-08,0.45193976285066256,9.681497982751607e-06,0.5479966815974574,2.1731681653892888e-07,2.8883039599301324e-05,3.818730684005368e-12,3.1619502433935034e-07,1.3815754883010498e-12,2.0077609937576347e-12,5.968939926600942e-16,2.4457111887412753e-05,3.478428697565079e-10,2.6415064068880527e-17,2.589040874632848e-20,3.551811641805507e-11,0.7125258111683574,0.00010105292171531263,0.2859260116493046,7.214031418326708e-06,0.0014398903362361998,8.284164307761955e-12,1.6873986236758644e-08,5.881318001322507e-10,3.180828227854752e-10,2.7412495762929415e-14,1.6154654861058338e-09,4.834401745739485e-10,7.533760309194008e-16,2.4755305887273454e-18,5.549306235031996e-12,0.26230359699469713,0.00013816676927928785,0.6531397652497544,0.007277720451164138,0.07714015905324108,2.0999953375198378e-10,3.037537573192907e-07,4.2887502793392483e-10,3.6430563779399977e-09,3.0133895378309046e-12,2.830810646373524e-07,1.3416841636289665e-10,3.5066578967916465e-16,4.250095449757739e-18,2.279290581808548e-10,0.39742708582096276,2.4528041975945682e-05,0.6017810726691221,2.156939606178906e-06,0.0007044891476187592,2.27048039581103e-12,4.3172366458070504e-07,1.3726262678438234e-11,1.2316485430018137e-11,1.2268732158498862e-15,6.023223346707915e-05,3.334111930306265e-09,1.0177390069629652e-15,1.4406682846336681e-18,6.11554095026652e-11
1.999999936531045e-20,2.055885646244727,100000.0,0.4058263848021892,823.15,9.753896720120286e-18,0.023899999999999998,0.015899999999999997,9.753896721450883e-18,5.192088187490133e-35,4.435323530556925e-28,0.9601999999999999,0.3663779186087476,0.07084018303596407,0.4954652996392405,7.735242290187721e-05,0.01907574265757404,2.6135983669057992e-08,9.564959130584675e-08,1.1769329100288278e-10,7.650275109131452e-11,6.717851989588211e-12,0.04802715328479417,0.00013620247626155781,1.2262302975897154e-11,1.3418848182308326e-14,2.5875751885047508e-08,0.4519397628506624,9.681497982912305e-06,0.5479966815974575,2.17316816540915e-07,2.888303959930127e-05,3.8187306840324805e-12,3.161950243393502e-07,1.381575488313676e-12,2.0077609937759838e-12,5.968939926741987e-16,2.4457111887412777e-05,3.4784286976228186e-10,2.6415064069050948e-17,2.5890408746925255e-20,3.551811641864459e-11,0.7125258111683576,0.00010105292171532766,0.2859260116493044,7.214031418326266e-06,0.001439890336236022,8.284164307760978e-12,1.687398623675865e-08,5.881318001322271e-10,3.18082822785457e-10,2.7412495762930137e-14,1.6154654861060334e-09,4.8344017457408e-10,7.533760309197176e-16,2.475530588728749e-18,5.549306235032824e-12,0.2623035969947055,0.00013816676927930617,0.6531397652497587,0.007277720451163599,0.07714015905322856,2.0999953375197276e-10,3.037537573193003e-07,4.28875027933934e-10,3.643056377939819e-09,3.0133895378308485e-12,2.830810646374195e-07,1.34168416362942e-10,3.506657896793183e-16,4.250095449760029e-18,2.2792905818089237e-10,0.39742708582096226,2.4528041976309428e-05,0.601781072669122,2.1569396061921998e-06,0.0007044891476187485,2.270480395830867e-12,4.3172366458070436e-07,1.372626267852271e-11,1.2316485430093993e-11,1.2268732158706178e-15,6.023223346707991e-05,3.3341119303557574e-09,1.0177390069931673e-15,1.4406682846977876e-18,6.115540950357206e-11
3.99999987306209e-20,2.055885646244727,100000.0,0.4058263848021892,823.15,1.9507793440240363e-17,0.023899999999999984,0.015899999999999987,1.950779344290156e-17,1.0384176374977612e-34,8.870647061113933e-28,0.9601999999999999,0.36637791860874713,0.07084018303596427,0.49546529963924024,7.735242290187685e-05,0.019075742657573898,2.6135983669057817e-08,9.56495913058466e-08,1.1769329100288255e-10,7.650275109131425e-11,6.717851989588192e-12,0.048027153284794406,0.00013620247626155903,1.2262302975897312e-11,1.3418848182308558e-14,2.5875751885047534e-08,0.4519397628506623,9.681497983233435e-06,0.5479966815974572,2.1731681654488447e-07,2.888303959930123e-05,3.818730684086712e-12,3.1619502433934987e-07,1.3815754883389103e-12,2.007760993812655e-12,5.968939927023928e-16,2.4457111887412787e-05,3.4784286977382005e-10,2.6415064069391776e-17,2.5890408748118083e-20,3.551811641982268e-11,0.7125258111683578,0.00010105292171535768,0.2859260116493045,7.2140314183253734e-06,0.0014398903362356666,8.284164307759028e-12,1.6873986236758644e-08,5.881318001321808e-10,3.1808282278542085e-10,2.74124957629316e-14,1.6154654861063942e-09,4.834401745743316e-10,7.533760309203334e-16,2.475530588731499e-18,5.549306235034473e-12,0.26230359699472283,0.0001381667692793434,0.6531397652497677,0.00727772045116262,0.07714015905320397,2.0999953375195221e-10,3.0375375731932017e-07,4.288750279339537e-10,3.6430563779395097e-09,3.0133895378307665e-12,2.8308106463755303e-07,1.3416841636303257e-10,3.5066578967962663e-16,4.250095449764633e-18,2.2792905818096876e-10,0.3974270858209619,2.4528041977037595e-05,0.6017810726691218,2.1569396062188203e-06,0.0007044891476187305,2.2704803958705533e-12,4.317236645807039e-07,1.3726262678691932e-11,1.2316485430245964e-11,1.2268732159121218e-15,6.023223346708141e-05,3.3341119304548206e-09,1.0177390070536207e-15,1.4406682848261327e-18,6.115540950538756e-11
7.99999974612418e-20,2.055885646244727,100000.0,0.4058263848021892,823.15,3.901558688047945e-17,0.023899999999999966,0.015899999999999966,3.901558688580183e-17,2.0768352749937745e-34,1.774129412222846e-27,0.9601999999999999,0.3663779186087465,0.07084018303596491,0.49546529963924013,7.73524229018764e-05,0.01907574265757371,2.613598366905758e-08,9.564959130584639e-08,1.1769329100288224e-10,7.650275109131397e-11,6.7178519895882005e-12,0.04802715328479485,0.00013620247626156174,1.2262302975897684e-11,1.3418848182309108e-14,2.587575188504771e-08,0.4519397628506619,9.681497983875982e-06,0.547996681597457,2.1731681655282657e-07,2.8883039599301087e-05,3.818730684195169e-12,3.1619502433934944e-07,1.3815754883893972e-12,2.007760993886025e-12,5.968939927587978e-16,2.445711188741283e-05,3.4784286979690656e-10,2.64150640700734e-17,2.589040875050449e-20,3.551811642217986e-11,0.7125258111683582,0.00010105292171541807,0.2859260116493046,7.214031418323609e-06,0.0014398903362349608,8.284164307755168e-12,1.687398623675865e-08,5.881318001320843e-10,3.18082822785347e-10,2.7412495762934688e-14,1.6154654861072245e-09,4.834401745748686e-10,7.533760309216199e-16,2.4755305887371842e-18,5.549306235037789e-12,0.2623035969947567,0.00013816676927941735,0.6531397652497851,0.007277720451160551,0.07714015905315437,2.0999953375190948e-10,3.0375375731935935e-07,4.2887502793399065e-10,3.643056377938832e-09,3.013389537830566e-12,2.8308106463781995e-07,1.3416841636321354e-10,3.5066578968024175e-16,4.250095449773812e-18,2.2792905818111962e-10,0.397427085820961,2.4528041978493252e-05,0.6017810726691207,2.156939606272041e-06,0.0007044891476186955,2.270480395949925e-12,4.3172366458070256e-07,1.3726262679030094e-11,1.2316485430549636e-11,1.226873215995093e-15,6.0232233467083945e-05,3.3341119306528385e-09,1.0177390071744673e-15,1.4406682850827e-18,6.115540950901665e-11
1.599999949224836e-19,2.055885646244727,100000.0,0.4058263848021892,823.15,7.80311737609538e-17,0.023899999999999928,0.015899999999999928,7.803117377159856e-17,4.153670549980819e-34,3.5482588244459046e-27,0.9601999999999999,0.36637791860874525,0.07084018303596586,0.49546529963923985,7.735242290187511e-05,0.019075742657573176,2.613598366905689e-08,9.564959130584602e-08,1.1769329100288143e-10,7.650275109131316e-11,6.7178519895881375e-12,0.048027153284795905,0.000136202476261567,1.2262302975898364e-11,1.3418848182310072e-14,2.5875751885047954e-08,0.4519397628506615,9.6814979851609e-06,0.5479966815974564,2.1731681656870883e-07,2.888303959930089e-05,3.818730684412093e-12,3.1619502433934865e-07,1.3815754884903623e-12,2.007760994032752e-12,5.968939928715975e-16,2.445711188741289e-05,3.478428698430731e-10,2.6415064071436664e-17,2.5890408755276782e-20,3.551811642689366e-11,0.7125258111683594,0.00010105292171553827,0.28592601164930476,7.214031418320012e-06,0.0014398903362335361,8.284164307747365e-12,1.6873986236758667e-08,5.88131800131891e-10,3.1808282278519814e-10,2.741249576294047e-14,1.6154654861088381e-09,4.834401745759257e-10,7.533760309241624e-16,2.4755305887484424e-18,5.549306235044394e-12,0.2623035969948248,0.0001381667692795653,0.6531397652498202,0.0072777204511564305,0.07714015905305532,2.0999953375182454e-10,3.037537573194379e-07,4.288750279340659e-10,3.6430563779374885e-09,3.013389537830182e-12,2.8308106463835607e-07,1.3416841636357646e-10,3.5066578968147483e-16,4.250095449792204e-18,2.2792905818142255e-10,0.39742708582095915,2.452804198140497e-05,0.6017810726691201,2.1569396063784856e-06,0.0007044891476186218,2.270480396108662e-12,4.317236645806998e-07,1.372626267970655e-11,1.2316485431157106e-11,1.2268732161610524e-15,6.023223346708952e-05,3.3341119310489542e-09,1.017739007416202e-15,1.4406682855959169e-18,6.115540951627594e-11
3.199999898449672e-19,2.055885646244727,100000.0,0.4058263848021892,823.15,1.5606234752188743e-16,0.02389999999999985,0.01589999999999985,1.5606234754317698e-16,8.307341099935045e-34,7.096517648892644e-27,0.9601999999999999,0.36637791860874297,0.07084018303596787,0.4954652996392394,7.735242290187278e-05,0.019075742657572156,2.6135983669055603e-08,9.564959130584523e-08,1.1769329100287988e-10,7.650275109131164e-11,6.7178519895880406e-12,0.04802715328479792,0.00013620247626157747,1.2262302975899729e-11,1.341884818231204e-14,2.587575188504845e-08,0.4519397628506597,9.681497987730707e-06,0.5479966815974555,2.1731681660047265e-07,2.8883039599300355e-05,3.818730684845922e-12,3.161950243393464e-07,1.3815754886922856e-12,2.007760994326196e-12,5.968939930971943e-16,2.4457111887412993e-05,3.478428699354057e-10,2.6415064074163146e-17,2.589040876482135e-20,3.551811643632108e-11,0.7125258111683622,0.0001010529217157794,0.28592601164930476,7.2140314183129085e-06,0.0014398903362307092,8.284164307731878e-12,1.6873986236758707e-08,5.881318001315129e-10,3.180828227849059e-10,2.741249576295265e-14,1.6154654861120348e-09,4.83440174578034e-10,7.533760309292422e-16,2.475530588770957e-18,5.54930623505765e-12,0.26230359699496075,0.00013816676927986114,0.6531397652498905,0.007277720451148223,0.07714015905285693,2.0999953375165438e-10,3.037537573195947e-07,4.28875027934217e-10,3.6430563779348204e-09,3.0133895378294102e-12,2.830810646394261e-07,1.3416841636430138e-10,3.506657896839386e-16,4.250095449828963e-18,2.2792905818202835e-10,0.3974270858209551,2.452804198722836e-05,0.601781072669118,2.15693960659137e-06,0.0007044891476184732,2.27048039642613e-12,4.317236645806939e-07,1.3726262681059394e-11,1.231648543237199e-11,1.226873216492967e-15,6.02322334671007e-05,3.3341119318411852e-09,1.0177390078996705e-15,1.4406682866223485e-18,6.115540953079441e-11
6.399999796899344e-19,2.055885646244727,100000.0,0.4058263848021892,823.15,3.1212469504369296e-16,0.023899999999999696,0.015899999999999696,3.121246950862721e-16,1.6614682199763946e-33,1.4193035297788543e-26,0.9601999999999999,0.3663779186087379,0.07084018303597152,0.49546529963923824,7.735242290186727e-05,0.019075742657569943,2.6135983669052777e-08,9.564959130584358e-08,1.1769329100287668e-10,7.65027510913082e-11,6.717851989587753e-12,0.04802715328480222,0.00013620247626159863,1.226230297590244e-11,1.341884818231588e-14,2.587575188504936e-08,0.45193976285065685,9.681497992870337e-06,0.547996681597453,2.173168166640008e-07,2.888303959929939e-05,3.818730685713598e-12,3.161950243393423e-07,1.3815754890961396e-12,2.0077609949130934e-12,5.968939935483899e-16,2.4457111887413305e-05,3.478428701200722e-10,2.641506407961625e-17,2.5890408783910612e-20,3.551811645517611e-11,0.7125258111683671,0.00010105292171626094,0.2859260116493052,7.214031418298605e-06,0.001439890336225031,8.284164307700783e-12,1.6873986236758776e-08,5.881318001307428e-10,3.180828227843129e-10,2.7412495762976365e-14,1.6154654861184614e-09,4.834401745822572e-10,7.533760309394086e-16,2.4755305888159937e-18,5.54930623508411e-12,0.2623035969952323,0.00013816676928045323,0.6531397652500308,0.00727772045113184,0.07714015905246077,2.0999953375131518e-10,3.037537573199078e-07,4.2887502793451756e-10,3.6430563779294892e-09,3.013389537827885e-12,2.8308106464156527e-07,1.341684163657513e-10,3.5066578968886784e-16,4.2500954499025155e-18,2.2792905818323937e-10,0.3974270858209475,2.452804199887524e-05,0.6017810726691141,2.156939607017156e-06,0.0007044891476181808,2.2704803970610823e-12,4.317236645806827e-07,1.372626268376521e-11,1.2316485434801864e-11,1.2268732171568098e-15,6.023223346712291e-05,3.3341119334256443e-09,1.0177390088666094e-15,1.4406682886752183e-18,6.115540955983167e-11
1.2799999593798688e-18,2.055885646244727,100000.0,0.4058263848021892,823.15,6.2424939008706e-16,0.023899999999999384,0.015899999999999383,6.242493901722181e-16,3.3229364399103644e-33,2.8386070595590236e-26,0.9601999999999999,0.3663779186087282,0.07084018303597923,0.49546529963923625,7.735242290185676e-05,0.019075742657565713,2.6135983669047378e-08,9.564959130584042e-08,1.176932910028706e-10,7.65027510913017e-11,6.717851989587269e-12,0.04802715328481079,0.00013620247626164124,1.2262302975907931e-11,1.3418848182323697e-14,2.5875751885051283e-08,0.4519397628506517,9.681498003149616e-06,0.5479966815974477,2.173168167910576e-07,2.8883039599297543e-05,3.818730687448954e-12,3.1619502433933457e-07,1.3815754899038473e-12,2.0077609960868893e-12,5.968939944507823e-16,2.4457111887413834e-05,3.4784287048940397e-10,2.6415064090522352e-17,2.5890408822089035e-20,3.551811649288614e-11,0.7125258111683772,0.00010105292171722421,0.2859260116493056,7.2140314182700884e-06,0.001439890336213685,8.284164307638638e-12,1.687398623675891e-08,5.881318001292157e-10,3.1808282278313494e-10,2.7412495763024034e-14,1.6154654861312715e-09,4.834401745906925e-10,7.533760309597244e-16,2.4755305889060174e-18,5.549306235137049e-12,0.26230359699577577,0.00013816676928163677,0.6531397652503119,0.007277720451098967,0.07714015905166766,2.0999953375063498e-10,3.037537573205345e-07,4.288750279351203e-10,3.6430563779187913e-09,3.013389537824805e-12,2.8308106464584696e-07,1.3416841636865194e-10,3.5066578969872624e-16,4.250095450049602e-18,2.2792905818566174e-10,0.39742708582093245,2.4528042022168998e-05,0.6017810726691054,2.156939607868729e-06,0.0007044891476175968,2.270480398330987e-12,4.3172366458066084e-07,1.3726262689176912e-11,1.2316485439661681e-11,1.2268732184844948e-15,6.0232233467167076e-05,3.3341119365945517e-09,1.0177390108004832e-15,1.4406682927809498e-18,6.115540961790613e-11
2.5599999187597377e-18,2.055885646244727,100000.0,0.4058263848021892,823.15,1.248498780172816e-15,0.02389999999999876,0.01589999999999876,1.2484987803431327e-15,6.645872879651032e-33,5.677214119123289e-26,0.9601999999999999,0.3663779186087087,0.07084018303599449,0.4954652996392319,7.735242290183581e-05,0.019075742657557175,2.6135983669036495e-08,9.564959130583402e-08,1.176932910028582e-10,7.65027510912886e-11,6.717851989586277e-12,0.04802715328482763,0.00013620247626172568,1.226230297591883e-11,1.3418848182339228e-14,2.5875751885055038e-08,0.45193976285064125,9.68149802370816e-06,0.5479966815974376,2.1731681704517103e-07,2.8883039599293806e-05,3.818730690919662e-12,3.16195024339319e-07,1.3815754915192624e-12,2.0077609984344796e-12,5.968939962555667e-16,2.4457111887414853e-05,3.4784287122806674e-10,2.6415064112334507e-17,2.5890408898445813e-20,3.551811656830622e-11,0.7125258111683969,0.00010105292171915076,0.2859260116493067,7.2140314182129815e-06,0.0014398903361909894,8.284164307514333e-12,1.6873986236759164e-08,5.881318001261488e-10,3.1808282278077153e-10,2.741249576311933e-14,1.615465486156931e-09,4.834401746075747e-10,7.533760310003754e-16,2.475530589086127e-18,5.549306235242922e-12,0.2623035969968627,0.00013816676928400404,0.6531397652508744,0.007277720451033271,0.07714015905008165,2.0999953374927515e-10,3.0375375732178774e-07,4.2887502793632495e-10,3.64305637789741e-09,3.013389537818647e-12,2.830810646544081e-07,1.3416841637445236e-10,3.506657897184414e-16,4.250095450343758e-18,2.2792905819050615e-10,0.39742708582090164,2.452804206875646e-05,0.6017810726690886,2.1569396095718655e-06,0.0007044891476164251,2.270480400870787e-12,4.317236645806163e-07,1.372626270000012e-11,1.231648544938114e-11,1.2268732211398576e-15,6.0232233467255615e-05,3.3341119429323724e-09,1.0177390146682321e-15,1.4406683009924148e-18,6.115540973405489e-11
